timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
273952672,nan,nan,nan,-0.023892952,-0.04729478,1.0,0.30800742,0.60968375,0.0,nan,nan,0.0,nan,2.6174977
273977215,nan,nan,nan,-0.021931961,-0.043175448,1.0,0.31040978,0.61107534,0.0,nan,nan,0.0,nan,2.6176143
274158989,nan,nan,nan,-0.023786489,-0.04643164,1.0,0.3234574,0.6313945,0.0,nan,nan,0.0,nan,2.6179433
274376068,nan,nan,nan,-0.021667676,-0.042960357,1.0,0.30554423,0.60580045,0.0,nan,nan,0.0,nan,2.6179893
274562512,nan,nan,nan,-0.016541447,-0.029473701,1.0,0.29952553,0.53369725,0.0,nan,nan,0.0,nan,2.617993
274757550,nan,nan,nan,-0.01420063,-0.02848133,1.0,0.24727732,0.49594897,0.0,nan,nan,0.0,nan,2.6179938
274956299,nan,nan,nan,-0.0076971627,-0.0177786,1.0,0.1879687,0.43416256,0.0,nan,nan,0.0,nan,2.6179938
275157637,nan,nan,nan,-0.0054843575,-0.011820031,1.0,0.1535967,0.33103564,0.0,nan,nan,0.0,nan,2.6179938
275357765,nan,nan,nan,-0.0009541792,-0.0037121973,1.0,0.062624395,0.24363783,0.0,nan,nan,0.0,nan,2.2402296
275556421,nan,nan,nan,0.00044889282,-4.065869e-05,1.0,-0.19330089,0.01750834,0.0,nan,nan,0.0,nan,0.499706
275761239,nan,nan,nan,0.0017525125,0.0005195176,1.0,-0.20314343,-0.06022016,0.0,nan,nan,0.0,nan,0.052486498
275959964,nan,nan,nan,0.0046723858,0.00378216,1.0,-0.24834321,-0.20102659,0.0,nan,nan,0.0,nan,0.005813024
276156433,nan,nan,nan,0.0072575784,0.0008711957,1.0,-0.29796523,-0.03576757,0.0,nan,nan,0.0,nan,0.00065866066
276358811,nan,nan,nan,0.004344951,0.0003883164,1.0,-0.27972203,-0.024999276,0.0,nan,nan,0.0,nan,7.0501024e-05
276555240,nan,nan,nan,0.0019547455,-0.0016058239,1.0,-0.16710266,0.13727489,0.0,nan,nan,0.0,nan,7.9773135e-06
276758834,nan,nan,nan,0.00093843136,-0.0026483648,1.0,-0.08576191,0.2420304,0.0,nan,nan,0.0,nan,8.305614e-07
276958837,nan,nan,nan,0.001486425,0.0027316706,1.0,-0.10102559,-0.18565929,0.0,nan,nan,0.0,nan,9.0535735e-08
