timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
274119053,273996129,0.0988026,0.09880391,0.20995788,0.48740157,0.48740354,1.1758882,0.09868994,0.09869109,0.017593324,0.3474421,0.34744385,0.28807536,0.0,12.278175,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0903464,0.0,0.0,0.0,1.0018463,1.0018607,1.0093647,0.0,0.0,0.0,0.0,0.0,0.0
274261239,274155489,0.09897695,0.09897813,0.21025088,0.49001285,0.4900147,1.1833653,0.09608105,0.09605199,0.012305025,0.31149292,0.3030485,0.27034917,0.0,12.268793,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034598,0.0,0.0,0.0,1.0016706,1.0016835,1.0093625,0.0,0.0,0.0,0.0,0.0,0.0
274278399,274170238,0.09897695,0.09897813,0.21025088,0.49001285,0.4900147,1.1833653,0.09608105,0.09605199,0.012305025,0.31149292,0.3030485,0.27034917,0.0,12.268793,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034598,0.0,0.0,0.0,1.0016361,1.0016489,1.009362,0.0,0.0,0.0,0.0,0.0,0.0
274293179,274175135,0.09897695,0.09897813,0.21025088,0.49001285,0.4900147,1.1833653,0.09608105,0.09605199,0.012305025,0.31149292,0.3030485,0.27034917,0.0,12.268793,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034598,0.0,0.0,0.0,1.0016401,1.001653,1.009362,0.0,0.0,0.0,0.0,0.0,0.0
274303354,274188785,0.09897695,0.09897813,0.21025088,0.49001285,0.4900147,1.1833653,0.09566518,0.09563799,0.011901413,0.3052626,0.29864463,0.26920864,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034598,0.0,0.0,0.0,1.0016439,1.001657,1.009362,0.0,0.0,0.0,0.0,0.0,0.0
274317887,274198627,0.09897695,0.09897813,0.21025088,0.49001285,0.4900147,1.1833653,0.09566518,0.09563799,0.011901413,0.3052626,0.29864463,0.26920864,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034647,0.0,0.0,0.0,1.0016143,1.001627,1.0093619,0.0,0.0,0.0,0.0,0.0,0.0
274324039,274208482,0.09897695,0.09897813,0.21025088,0.49001285,0.4900147,1.1833653,0.09566518,0.09563799,0.011901413,0.3052626,0.29864463,0.26920864,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034647,0.0,0.0,0.0,1.0016183,1.001631,1.009362,0.0,0.0,0.0,0.0,0.0,0.0
274339115,274218360,0.09897695,0.09897813,0.21025088,0.49001285,0.4900147,1.1833653,0.09531116,0.09528681,0.011634462,0.30032757,0.29501906,0.26834998,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034647,0.0,0.0,0.0,1.0016222,1.001635,1.0093619,0.0,0.0,0.0,0.0,0.0,0.0
274352714,274229490,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09531116,0.09528681,0.011634462,0.30032757,0.29501906,0.26834998,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034647,0.0,0.0,0.0,1.0015717,1.001584,1.0093611,0.0,0.0,0.0,0.0,0.0,0.0
274358574,274239365,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09531116,0.09528681,0.011634462,0.30032757,0.29501906,0.26834998,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034647,0.0,0.0,0.0,1.0015755,1.001588,1.0093613,0.0,0.0,0.0,0.0,0.0,0.0
274375973,274249269,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09469485,0.09467708,0.011432906,0.29540437,0.2910868,0.26757294,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034647,0.0,0.0,0.0,1.0015795,1.0015919,1.0093614,0.0,0.0,0.0,0.0,0.0,0.0
274387080,274260357,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09469485,0.09467708,0.011432906,0.29540437,0.2910868,0.26757294,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034647,0.0,0.0,0.0,1.0015599,1.0015721,1.0093611,0.0,0.0,0.0,0.0,0.0,0.0
274400771,274273913,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09469485,0.09467708,0.011432906,0.29540437,0.2910868,0.26757294,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034657,0.0,0.0,0.0,1.0015637,1.0015761,1.0093611,0.0,0.0,0.0,0.0,0.0,0.0
274415691,274292446,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09452458,0.094508916,0.011297679,0.29221326,0.28863394,0.26701796,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034657,0.0,0.0,0.0,1.0015675,1.0015799,1.0093613,0.0,0.0,0.0,0.0,0.0,0.0
274424010,274302331,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09452458,0.094508916,0.011297679,0.29221326,0.28863394,0.26701796,0.0,12.261509,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034657,0.0,0.0,0.0,1.0015492,1.0015615,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
274435149,274312204,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09452458,0.094508916,0.011297679,0.29221326,0.28863394,0.26701796,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034657,0.0,0.0,0.0,1.001553,1.0015656,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
274449025,274323325,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09435345,0.094339825,0.011195313,0.28954202,0.2865364,0.26653934,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034657,0.0,0.0,0.0,1.001557,1.0015695,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
274463605,274336892,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09435345,0.094339825,0.011195313,0.28954202,0.2865364,0.26653934,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034625,0.0,0.0,0.0,1.0015401,1.0015526,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
274480865,274346786,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09435345,0.094339825,0.011195313,0.28954202,0.2865364,0.26653934,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034625,0.0,0.0,0.0,1.0015439,1.0015564,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
274489755,274357891,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.0942086,0.094196804,0.011115938,0.28727373,0.28472263,0.26612845,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034625,0.0,0.0,0.0,1.0015478,1.0015602,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
274495616,274371461,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.0942086,0.094196804,0.011115938,0.28727373,0.28472263,0.26612845,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034625,0.0,0.0,0.0,1.0015321,1.0015444,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
274504391,274386279,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09405638,0.094046205,0.0110348025,0.28505868,0.28287435,0.26574215,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034625,0.0,0.0,0.0,1.001536,1.0015484,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
274512930,274396148,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09405638,0.094046205,0.0110348025,0.28505868,0.28287435,0.26574215,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09034625,0.0,0.0,0.0,1.0015215,1.0015337,1.0093606,0.0,0.0,0.0,0.0,0.0,0.0
274519094,274413436,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09405638,0.094046205,0.0110348025,0.28505868,0.28287435,0.26574215,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090346135,0.0,0.0,0.0,1.0015254,1.0015376,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
274527837,274423332,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09396218,0.0939534,0.010988152,0.2834112,0.28152338,0.26542085,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090346135,0.0,0.0,0.0,1.0015293,1.0015414,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
274532693,274434427,0.09492961,0.09490839,0.20390794,0.47826362,0.4780559,1.165615,0.09396218,0.0939534,0.010988152,0.2834112,0.28152338,0.26542085,0.0,12.258607,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090346135,0.0,0.0,0.0,1.0015153,1.0015273,1.0093608,0.0,0.0,0.0,0.0,0.0,0.0
274541913,274448023,0.09383269,0.093825154,0.20343208,0.4747017,0.47457576,1.1674502,0.093649216,0.09364272,0.010926885,0.28126934,0.279636,0.26505718,0.0,12.257314,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090346135,0.0,0.0,0.0,1.0015025,1.0015147,1.0093604,0.0,0.0,0.0,0.0,0.0,0.0
274542583,274461577,0.09383269,0.093825154,0.20343208,0.4747017,0.47457576,1.1674502,0.093649216,0.09364272,0.010926885,0.28126934,0.279636,0.26505718,0.0,12.257314,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090346135,0.0,0.0,0.0,1.0014911,1.0015031,1.0093603,0.0,0.0,0.0,0.0,0.0,0.0
274547768,274480111,0.09383269,0.093825154,0.20343208,0.4747017,0.47457576,1.1674502,0.09356614,0.09356053,0.010881706,0.27981895,0.2783892,0.2647804,0.0,12.257314,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090346135,0.0,0.0,0.0,1.001495,1.0015069,1.0093604,0.0,0.0,0.0,0.0,0.0,0.0
