timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
345801273,0.027086085,-0.015226134,1.57079,0.0,0.7069508,0.014958526,0.004193055,0.7070921,0.0,0.0,-0.4172723,0,0
345855648,0.029651958,-0.017941317,1.57079,0.0,0.70690876,0.016825188,0.00414026,0.7070925,0.0,0.0,-0.4176404,0,0
345940624,0.029511018,-0.011781709,1.57079,0.0,0.7069583,0.0145981675,0.0062681297,0.7070768,0.0,0.0,-0.4172138,0,0
345978778,0.029478062,-0.014798329,1.57079,0.0,0.7069357,0.015652806,0.0051899743,0.70708555,0.0,0.0,-0.41628483,0,0
346030622,0.023943521,-0.017509867,1.57079,0.0,0.7069571,0.014654945,0.0022745898,0.7071009,0.0,0.0,-0.4180455,0,0
346060472,0.022372967,-0.018781664,1.57079,0.0,0.7069593,0.014549335,0.0012696706,0.70710343,0.0,0.0,-0.41604322,0,0
346088679,0.015641676,-0.01885145,1.57079,0.0,0.70700383,0.012194555,-0.0011348631,0.7071036,0.0,0.0,-0.41882038,0,0
346148153,0.010120002,-0.009127944,1.57079,0.0,0.70707625,0.006805072,0.000350724,0.7071044,0.0,0.0,-0.42223105,0,0
346193595,0.020395974,-0.021150008,1.57079,0.0,0.70695645,0.014687664,-0.00026663748,0.70710444,0.0,0.0,-0.41148555,0,0
346250386,0.025957443,-0.010127943,1.57079,0.0,0.7069939,0.012757437,0.005596476,0.7070824,0.0,0.0,-0.41640273,0,0
346286333,0.023870606,-0.014209992,1.57079,0.0,0.7069808,0.013462721,0.003415487,0.70709634,0.0,0.0,-0.4191798,0,0
346329578,0.01295626,-0.0014595628,1.57079,0.0,0.7070906,0.0050967317,0.0040646577,0.7070929,0.0,0.0,-0.4206766,0,0
346409622,0.023547923,-0.004081353,1.57079,0.0,0.70704156,0.009768135,0.006882332,0.7070711,0.0,0.0,-0.41659498,0,0
346492344,0.010673563,-0.0025684785,1.57079,0.0,0.7070935,0.004681743,0.0028655576,0.70709884,0.0,0.0,-0.4210837,0,0
346552815,0.018813841,-0.0017555975,1.57079,0.0,0.7070716,0.0072722854,0.006030904,0.7070788,0.0,0.0,-0.4181329,0,0
