timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
276113968,276108618,0.9629622,0.036084663,-0.04821932,0.26282424,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276174435,276174054,0.96295804,0.03617666,-0.048037425,0.26286033,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276226200,276220975,0.96297467,0.036064364,-0.047991365,0.26282325,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276265745,276260482,0.96298975,0.036001734,-0.047991045,0.26277667,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276317629,276316051,0.96300244,0.03595536,-0.048082277,0.26271972,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276371911,276367876,0.9630226,0.035918843,-0.0477634,0.26270932,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276413951,276413574,0.96302885,0.03589813,-0.047777608,0.2626865,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276465763,276465436,0.96304107,0.035930134,-0.047965683,0.26260287,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276510218,276508663,0.9630515,0.03580272,-0.047951765,0.26258457,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276554721,276554323,0.9630716,0.035835426,-0.04785656,0.2625238,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276617697,276617294,0.9630679,0.036135875,-0.047791604,0.26250798,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276672048,276670384,0.9630967,0.03582096,-0.04778534,0.26244658,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276715196,276714836,0.96310705,0.035930447,-0.04778454,0.26239377,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276773342,276772840,0.96312475,0.035781343,-0.047654063,0.26237273,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276842307,276838294,0.96312517,0.035895523,-0.047832344,0.2623234,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276879450,276874081,0.9631268,0.03610104,-0.047827117,0.2622903,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276920223,276919818,0.9631606,0.03576392,-0.047668807,0.26224142,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
276968315,276967935,0.9631526,0.035646517,-0.04768884,0.2622829,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277007881,277003741,0.9631522,0.035825405,-0.047656596,0.26226577,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
