timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
274248224,274248001,-0.0005452524,0.00033306458,-0.00016029272,0.041111138,0.054494083,0.040741846
274249623,274249269,-0.00022739294,-0.0007256294,-0.00039758254,0.096113205,-0.18798049,-0.020502284
274292674,274292446,-0.0006098865,-0.0003417427,-0.0011261012,0.018466203,-0.12920347,-0.06153687
274313744,274313411,-0.00033215957,0.0022089952,-0.0011149673,0.11636938,0.2627681,0.016983997
274331095,274330720,1.4989986e-05,0.0012491723,0.0022232723,0.043615453,-0.015398356,0.19343069
274350799,274350479,0.0002042487,-0.00047317095,0.0054285717,-0.06973469,-0.24290314,-0.07123275
274371782,274371402_03_15_vehicle_angular_velocity_0.csv61,0.00025073288,-0.004301149,-0.0060497434,-0.34528595,-0.42341498,-0.55696857
274390247,274389983,-0.0086077,-0.0061144507,-0.0054466794,-1.4735087,-0.5892629,1.1389148
274411214,274410981,-0.0025874046,0.006052621,0.009938035,0.034678586,1.2821877,0.85404265
274431612,274430749,-0.00021019077,0.008372498,0.00209548,-1.1272973,0.8765922,-1.3127062
274453213,274452993,-0.0026279008,-0.0036704517,-0.009362433,0.07783979,-0.4830107,0.23014136
274470497,274470248,-0.0051111355,-0.0026571113,0.002715418,0.42530626,-0.43242085,1.021674
274492081,274491232,0.004786966,0.002013257,0.009714017,0.8111784,-0.008472636,-0.32218423
274511298,274510955,0.0008307412,-0.0021146217,-0.011543516,0.046820167,-0.19721639,-0.856103
274532330,274531946,-0.006036205,0.0007032494,0.00035601715,-0.40458813,0.38563085,0.78635776
274551415,274550535,0.0070142224,0.0010168967,0.007867262,0.53138417,-0.22570348,-0.09295175
274571906,274571473,-0.0051614405,-0.0060726865,-0.005633803,-1.2298069,-0.5773244,-0.08350422
274593010,274592488,0.0024993985,-0.0008533425,-0.0001464868,0.8140226,0.5599122,0.5887136
274610362,274609735,-0.0030935311,-0.000598013,0.007400805,-0.5477484,0.24392831,0.042355787
274622799,274622096,0.00027805826,-0.0037197447,-0.0012188244,-0.5841431,-0.506687,-0.16197354
274653354,274652956,0.0016379168,-0.0025369413,0.0040745176,0.20489728,-0.48518756,1.1362225
274674799,274673964,0.00061007007,0.0019344687,0.00032394845,0.043011002,0.30411845,-0.6621616
274689065,274688768,-0.00044873284,-0.0049650325,-0.0032699655,-0.38322702,-0.37972197,0.020484276
274711402,274710995,0.00085107307,0.00054489257,0.00027394947,-0.9592863,0.3967904,0.5399808
274731097,274730761,0.00014556551,0.0007871966,0.0028962363,-0.478277,0.039215203,0.24788514
274750317,274749287,0.008681287,-0.002447294,-0.0029598083,2.330177,-0.50514954,-0.39124987
274771370,274770264,-0.00056465133,-0.0027445573,0.001000708,-0.06249035,-0.34494454,0.56455165
274790629,274790044,-0.0074838656,-0.0018092934,0.002938618,-0.8630182,0.029457007,-0.07690917
274814181,274813472,-0.0033706503,0.00078549044,-0.0016290485,-0.6695129,0.2724294,-0.05539815
274831460,274830751,0.0016280876,0.0017863624,-0.00216594,1.2683529,0.47853914,-0.3280502
274850863,274850513,-0.0028660803,0.0022657122,0.001382201,-1.1394265,0.4028783,0.20994842
274873053,274872743,-0.0008621111,0.00092235015,-0.00093802717,-0.9117221,-0.020209886,-0.18755308
274890278,274890025,0.00091789267,-0.0002656412,-0.0006782096,0.56518024,0.09283362,-0.08492066
274910631,274909758,-0.0025792283,-0.0025938358,-7.497007e-05,0.03262585,-0.16497104,-0.17428595
274932872,274932031,0.0034490877,-0.0008333717,-0.0011289585,0.3407187,0.19168563,-0.12005303
274953685,274952997,0.0002589559,-0.002176782,-0.0012582242,-0.009888731,-0.17097323,-0.0701465
274972280,274971535,0.0022703398,0.002467949,0.00020770775,0.6969475,0.38523448,0.27913284
274987135,274986316,-0.0034899574,0.0035727415,0.00038641784,-0.3937041,0.3098175,0.1997286
275013017,275012244,-0.0023241185,-0.001832936,-0.00089676096,-0.43651322,0.04683604,-0.12951878
275029884,275029567,-0.0010851405,-0.0012458786,-0.0004847839,-0.57299906,0.2110624,-0.080179
275050847,275050619,0.0028842853,-3.4684374e-05,-0.0004653046,0.04130838,0.45659658,0.15031302
275071374,275070279,-0.0009978904,-0.00013556873,-0.0015711454,-0.020889763,0.2987712,-0.3728332
275093120,275092503,-0.0015209183,0.0025050214,0.003079916,0.48795426,0.83835685,0.49781597
275111814,275111023,0.0056238524,-0.0026047507,-0.0026215264,0.6251942,-0.42936295,-0.29904288
275130390,275129561,-0.0015335294,0.0016339107,0.0012146165,-1.3443435,0.09202108,0.30652347
275152691,275151787,-0.0086218035,0.00029641966,0.0001169648,-1.1972461,0.23873919,-0.29851058
275171336,275170277,-0.0018024441,-0.0030548775,2.5801826e-05,0.57597286,-0.096886195,0.16945419
275188282,275187565,0.0054612416,-0.0017109418,0.00059572095,1.0533019,-0.09749383,0.20123991
275210027,275209794,0.0062367725,0.00039532984,0.0011566184,0.48439196,0.09207007,0.19273332
275232892,275232019,-0.008838493,-0.0030870137,-0.00059871934,-0.1320286,-0.38437378,-0.17572562
275250338,275249324,-0.0033130837,0.0015658739,-0.00088370894,-0.17393947,0.65462,0.39973074
275271339,275270290,0.0075330725,0.0029803908,0.0013561505,-0.22630581,0.43939155,0.08679095
275292580,275291407,-0.0055672415,-0.0002246013,-0.00015949924,-0.30380824,0.102941416,-0.3828997
275308668,275307320,-0.009591482,-0.0034505061,-0.0027730654,-0.100985095,-0.058760345,-0.20069091
275330595,275329554,0.0148303965,-0.0012038013,0.0001426898,1.1258049,0.26452285,0.21156827
